"k";"m";"nword";"count1";"count2";"count3";"clock span"
150;10000;6622;120006;81461;10153;14
150;10000;6622;120005;81455;10154;12
150;10000;6622;120006;81374;10155;12
150;10000;6622;120006;81434;10156;12
150;10000;6622;120006;81491;10157;11
160;10000;6622;120004;81485;10158;13
160;10000;6622;120006;81271;10159;12
160;10000;6622;120006;81411;10160;12
160;10000;6622;120003;81476;10161;13
160;10000;6622;120006;81470;10162;13
160;10000;6622;120006;81023;10163;12
160;10000;6622;120003;81075;10164;13
160;10000;6622;120006;81148;10165;12
160;10000;6622;120006;81142;10166;12
160;10000;6622;120005;81082;10167;13
170;10000;6622;120006;81206;10168;13
170;10000;6622;120006;81287;10169;13
170;10000;6622;120005;81281;10170;13
170;10000;6622;120004;81199;10171;13
170;10000;6622;120006;81243;10172;13
170;10000;6622;120005;81332;10173;13
170;10000;6622;120004;81326;10174;13
170;10000;6622;120006;81192;10175;12
170;10000;6622;120005;81300;10176;13
170;10000;6622;120004;81397;10177;13
180;10000;6622;120006;81391;10178;14
180;10000;6622;120005;81024;10179;14
180;10000;6622;120006;81060;10180;13
180;10000;6622;120006;81165;10181;14
180;10000;6622;120006;81159;10182;14
180;10000;6622;120006;81115;10183;14
180;10000;6622;120004;81215;10184;15
180;10000;6622;120006;81328;10185;14
180;10000;6622;120005;81322;10186;13
180;10000;6622;120004;81256;10187;14
190;10000;6622;120006;81284;10188;14
190;10000;6622;120005;81405;10189;15
190;10000;6622;120004;81399;10190;14
190;10000;6622;120006;81067;10191;14
190;10000;6622;120005;81107;10192;14
190;10000;6622;120006;81236;10193;14
190;10000;6622;120006;81230;10194;14
190;10000;6622;120006;80498;10195;14
190;10000;6622;120006;80534;10196;15
190;10000;6622;120004;80671;10197;14
200;10000;6622;120006;80665;10198;15
200;10000;6622;120005;80636;10199;15
200;10000;6622;120004;80668;10200;16
200;10000;6622;120006;80813;10201;15
200;10000;6622;120005;80807;10202;15
200;10000;6622;120004;80739;10203;15
200;10000;6622;120006;80767;10204;15
200;10000;6622;120005;80920;10205;15
200;10000;6622;120005;80914;10206;16
200;10000;6622;120006;80805;10207;15
10;100000;6622;1200006;80833;100208;13
10;100000;6622;1200005;80994;100209;14
10;100000;6622;1200005;80988;100210;13
10;100000;6622;1200006;80716;100211;13
10;100000;6622;1200004;80718;100212;14
10;100000;6622;1200005;80887;100213;12
10;100000;6622;1200006;80889;100214;13
10;100000;6622;1200004;80871;100215;13
10;100000;6622;1200005;80873;100216;13
10;100000;6622;1200006;81054;100217;13
20;100000;6622;1200005;81056;100218;20
20;100000;6622;1200005;80994;100219;20
20;100000;6622;1200006;80998;100220;20
20;100000;6622;1200006;81187;100221;20
20;100000;6622;1200004;81180;100222;20
20;100000;6622;1200006;80995;100223;20
20;100000;6622;1200006;80990;100224;20
20;100000;6622;1200003;81191;100225;20
20;100000;6622;1200006;81188;100226;20
20;100000;6622;1200006;80527;100227;20
30;100000;6622;1200003;82034;100228;26
30;100000;6622;1200006;82034;100229;26
30;100000;6622;1200006;81619;100230;27
30;100000;6622;1200005;81614;100231;26
30;100000;6622;1200006;81201;100232;26
30;100000;6622;1200006;81598;100233;26
30;100000;6622;1200006;81187;100234;26
30;100000;6622;1200004;81182;100235;27
30;100000;6622;1200006;80773;100236;26
30;100000;6622;1200006;81554;100237;26
40;100000;6622;1200003;81147;100238;31
40;100000;6622;1200006;81142;100239;31
40;100000;6622;1200006;80737;100240;31
40;100000;6622;1200003;81126;100241;31
40;100000;6622;1200006;80723;100242;31
40;100000;6622;1200006;80718;100243;32
40;100000;6622;1200005;80317;100244;31
40;100000;6622;1200006;81442;100245;31
40;100000;6622;1200006;81043;100246;31
40;100000;6622;1200006;81038;100247;31
50;100000;6622;1200004;80641;100248;36
50;100000;6622;1200006;81022;100249;37
50;100000;6622;1200006;80627;100250;36
50;100000;6622;1200003;80622;100251;37
50;100000;6622;1200006;80229;100252;38
50;100000;6622;1200006;80978;100253;37
50;100000;6622;1200003;80587;100254;36
50;100000;6622;1200006;80582;100255;36
50;100000;6622;1200006;80193;100256;37
50;100000;6622;1200005;80566;100257;35
60;100000;6622;1200006;80179;100258;41
60;100000;6622;1200006;80174;100259;42
60;100000;6622;1200006;79789;100260;42
60;100000;6622;1200004;81714;100261;43
60;100000;6622;1200006;81331;100262;42
60;100000;6622;1200006;81326;100263;43
60;100000;6622;1200003;80945;100264;42
60;100000;6622;1200006;81310;100265;43
60;100000;6622;1200006;80931;100266;43
60;100000;6622;1200003;80926;100267;42
70;100000;6622;1200006;80549;100268;51
70;100000;6622;1200006;81266;100269;51
70;100000;6622;1200005;80891;100270;50
70;100000;6622;1200006;80886;100271;51
70;100000;6622;1200006;80513;100272;50
70;100000;6622;1200005;80870;100273;50
70;100000;6622;1200004;80499;100274;50
70;100000;6622;1200006;80494;100275;51
70;100000;6622;1200005;80125;100276;50
70;100000;6622;1200004;81154;100277;51
80;100000;6622;1200006;80787;100278;56
80;100000;6622;1200005;80782;100279;55
80;100000;6622;1200004;80417;100280;56
80;100000;6622;1200006;80766;100281;56
80;100000;6622;1200005;80403;100282;56
80;100000;6622;1200006;80398;100283;57
80;100000;6622;1200006;80037;100284;56
80;100000;6622;1200006;80722;100285;57
80;100000;6622;1200006;80363;100286;57
80;100000;6622;1200004;80358;100287;56
90;100000;6622;1200006;80001;100288;63
90;100000;6622;1200005;80342;100289;64
90;100000;6622;1200004;79987;100290;63
90;100000;6622;1200006;79982;100291;64
90;100000;6622;1200005;79629;100292;65
90;100000;6622;1200004;80882;100293;63
90;100000;6622;1200006;80531;100294;65
90;100000;6622;1200005;80526;100295;64
90;100000;6622;1200006;80177;100296;64
90;100000;6622;1200006;80510;100297;64
100;100000;6622;1200006;80163;100298;70
100;100000;6622;1200006;80158;100299;69
100;100000;6622;1200004;79813;100300;70
100;100000;6622;1200006;80466;100301;70
100;100000;6622;1200005;80123;100302;70
100;100000;6622;1200004;80118;100303;70
100;100000;6622;1200006;79777;100304;71
100;100000;6622;1200005;80102;100305;70
100;100000;6622;1200004;79763;100306;71
100;100000;6622;1200006;79758;100307;69
110;100000;6622;1200005;79421;100308;77
110;100000;6622;1200005;80354;100309;76
110;100000;6622;1200006;80019;100310;76
110;100000;6622;1200006;80014;100311;76
110;100000;6622;1200005;79681;100312;76
110;100000;6622;1200005;79998;100313;77
110;100000;6622;1200006;79667;100314;78
110;100000;6622;1200004;79662;100315;76
110;100000;6622;1200005;79333;100316;76
110;100000;6622;1200006;79954;100317;77
120;100000;6622;1200004;79627;100318;83
120;100000;6622;1200005;79622;100319;83
120;100000;6622;1200006;79297;100320;84
120;100000;6622;1200005;79606;100321;82
120;100000;6622;1200006;79283;100322;83
120;100000;6622;1200006;79278;100323;83
120;100000;6622;1200006;78957;100324;82
120;100000;6622;1200005;80210;100325;83
120;100000;6622;1200005;79891;100326;82
120;100000;6622;1200006;79886;100327;83
130;100000;6622;1200004;79569;100328;89
130;100000;6622;1200005;79870;100329;90
130;100000;6622;1200006;79555;100330;90
130;100000;6622;1200004;79550;100331;89
130;100000;6622;1200005;79237;100332;89
130;100000;6622;1200006;79826;100333;89
130;100000;6622;1200005;79515;100334;90
130;100000;6622;1200006;79510;100335;89
130;100000;6622;1200006;79201;100336;90
130;100000;6622;1200006;79494;100337;90
140;100000;6622;1200005;79187;100338;94
140;100000;6622;1200005;79182;100339;95
140;100000;6622;1200006;78877;100340;94
140;100000;6622;1200004;79714;100341;94
140;100000;6622;1200005;79411;100342;95
140;100000;6622;1200006;79406;100343;95
140;100000;6622;1200004;79105;100344;94
140;100000;6622;1200005;79390;100345;95
140;100000;6622;1200006;79091;100346;96
140;100000;6622;1200005;79086;100347;95
150;100000;6622;1200006;78789;100348;101
150;100000;6622;1200006;79346;100349;101
150;100000;6622;1200006;79051;100350;102
150;100000;6622;1200005;79046;100351;101
150;100000;6622;1200005;78753;100352;102
150;100000;6622;1200006;79030;100353;100
150;100000;6622;1200004;78739;100354;101
150;100000;6622;1200005;78734;100355;102
150;100000;6622;1200006;78445;100356;102
150;100000;6622;1200004;79570;100357;101
160;100000;6622;1200005;79283;100358;107
160;100000;6622;1200006;79278;100359;108
160;100000;6622;1200005;78993;100360;106
