"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;37390;6081;0.008588
3;100000;6622;97565;5568;880;0.006427
3;100000;6622;97565;136347;22124;0.015438
3;100000;6622;97565;141821;23060;0.011654
3;100000;6622;97565;192904;31238;0.014090
3;100000;6622;97565;87161;14142;0.008999
3;100000;6622;97565;44197;7122;0.006564
3;100000;6622;97565;95750;15563;0.009127
3;100000;6622;97565;71528;11656;0.021101
3;100000;6622;97565;41372;6686;0.011552
3;100000;6622;97565;148390;24094;0.011736
3;100000;6622;97565;23992;3909;0.006113
3;100000;6622;97565;11790;1900;0.005100
3;100000;6622;97565;159299;25752;0.012965
3;100000;6622;97565;26029;4215;0.005905
3;100000;6622;97565;81765;13226;0.008829
3;100000;6622;97565;40000;6442;0.006495
3;100000;6622;97565;121422;19836;0.010720
3;100000;6622;97565;26745;4308;0.006067
3;100000;6622;97565;58393;9441;0.007626
3;100000;6622;97565;212242;34315;0.015374
3;100000;6622;97565;53067;8617;0.007194
3;100000;6622;97565;41992;6801;0.006509
3;100000;6622;97565;90362;14642;0.009106
3;100000;6622;97565;101199;16399;0.011838
3;100000;6622;97565;25701;4149;0.012858
3;100000;6622;97565;417706;67908;0.025959
3;100000;6622;97565;63801;10368;0.007545
3;100000;6622;97565;74884;12190;0.008451
3;100000;6622;97565;282635;45992;0.018817
3;100000;6622;97565;20757;3363;0.005394
3;100000;6622;97565;61157;9949;0.007949
3;100000;6622;97565;39267;6435;0.006456
3;100000;6622;97565;12455;2032;0.005288
3;100000;6622;97565;8289;1337;0.005192
3;100000;6622;97565;66938;10992;0.008005
3;100000;6622;97565;8934;1442;0.005147
3;100000;6622;97565;99894;16162;0.009602
3;100000;6622;97565;22874;3697;0.005665
3;100000;6622;97565;17708;2854;0.005448
3;100000;6622;97565;60245;9712;0.007842
3;100000;6622;97565;9340;1493;0.005227
3;100000;6622;97565;376617;61095;0.023635
3;100000;6622;97565;369615;60141;0.023450
3;100000;6622;97565;27990;4545;0.005803
3;100000;6622;97565;37060;6028;0.006234
3;100000;6622;97565;36484;5909;0.006772
3;100000;6622;97565;111482;18097;0.010003
3;100000;6622;97565;15181;2447;0.014127
3;100000;6622;97565;145442;23617;0.016820
3;100000;6622;97565;207316;33699;0.015747
3;100000;6622;97565;8157;1299;0.005095
3;100000;6622;97565;8541;1380;0.005125
3;100000;6622;97565;84718;13764;0.009096
3;100000;6622;97565;186661;30191;0.014273
3;100000;6622;97565;62076;10037;0.007913
3;100000;6622;97565;72985;11879;0.008137
3;100000;6622;97565;99334;16079;0.009880
3;100000;6622;97565;29658;4814;0.005980
3;100000;6622;97565;75630;12284;0.008485
3;100000;6622;97565;5568;880;0.004912
3;100000;6622;97565;49282;7984;0.007500
3;100000;6622;97565;169784;27429;0.013362
3;100000;6622;97565;100529;16307;0.009644
3;100000;6622;97565;52837;8531;0.006957
3;100000;6622;97565;190988;31028;0.013788
3;100000;6622;97565;47386;7705;0.006801
3;100000;6622;97565;181340;29471;0.013772
3;100000;6622;97565;60445;9766;0.007810
3;100000;6622;97565;189678;30810;0.014237
3;100000;6622;97565;200710;32606;0.014325
3;100000;6622;97565;263371;42818;0.017641
3;100000;6622;97565;182706;29699;0.013539
3;100000;6622;97565;35292;5717;0.006170
3;100000;6622;97565;77692;12581;0.008506
3;100000;6622;97565;36153;5878;0.006619
3;100000;6622;97565;37228;6007;0.006495
3;100000;6622;97565;84819;13860;0.018087
3;100000;6622;97565;16548;2660;0.007989
3;100000;6622;97565;8242;1317;0.005049
3;100000;6622;97565;39965;6498;0.006796
3;100000;6622;97565;315712;51243;0.021274
3;100000;6622;97565;5682;921;0.004654
3;100000;6622;97565;84703;13751;0.008620
3;100000;6622;97565;9359;1487;0.005067
3;100000;6622;97565;65113;10560;0.008317
3;100000;6622;97565;9062;1456;0.005329
3;100000;6622;97565;166988;27110;0.013271
3;100000;6622;97565;40627;6585;0.006536
3;100000;6622;97565;68842;11167;0.008432
3;100000;6622;97565;46870;7645;0.006824
3;100000;6622;97565;138209;22503;0.011377
3;100000;6622;97565;16255;2643;0.005343
3;100000;6622;97565;65535;10640;0.007644
3;100000;6622;97565;115039;18714;0.010437
3;100000;6622;97565;74932;12135;0.008001
3;100000;6622;97565;185116;30020;0.014190
3;100000;6622;97565;22033;3591;0.005995
3;100000;6622;97565;58033;9388;0.007671
3;100000;6622;97565;23685;3848;0.020213
