"k";"m";"n";"count1";"count2";"count3";"time"
5;100000;6622;51516;97774;8086;8
5;100000;6622;51516;97774;8086;8
5;100000;6622;51516;97774;8086;9
5;100000;6622;51516;97774;8086;9
5;100000;6622;51516;97774;8086;8
5;100000;6622;51516;97774;8086;8
5;100000;6622;51516;97774;8086;8
5;100000;6622;51516;97774;8086;8
5;1000000;6622;51516;97774;8086;8
5;1000000;6622;51516;97774;8086;8
5;1000000;6622;51516;97774;8086;9
5;1000000;6622;51516;97774;8086;9
5;1000000;6622;51516;97774;8086;9
5;1000000;6622;51516;97774;8086;8
5;1000000;6622;51516;97774;8086;8
5;1000000;6622;51516;97774;8086;8
5;1000000;6622;51516;97774;8086;8
5;1000000;6622;51516;97774;8086;9
5;10000000;6622;51516;97774;8086;8
5;10000000;6622;51516;97774;8086;9
5;10000000;6622;51516;97774;8086;8
5;10000000;6622;51516;97774;8086;8
5;10000000;6622;51516;97774;8086;9
5;10000000;6622;51516;97774;8086;8
5;10000000;6622;51516;97774;8086;8
5;10000000;6622;51516;97774;8086;8
5;10000000;6622;51516;97774;8086;8
5;10000000;6622;51516;97774;8086;7
5;100000000;6622;51516;97774;8086;9
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;8
5;100000000;6622;51516;97774;8086;7
6;10000;6622;80452;97768;12607;10
6;10000;6622;80452;97768;12607;10
6;10000;6622;80452;97768;12607;10
6;10000;6622;80452;97768;12607;11
6;10000;6622;80452;97768;12607;10
6;10000;6622;80452;97768;12607;10
6;10000;6622;80452;97768;12607;11
6;10000;6622;80452;97768;12607;10
6;10000;6622;80452;97768;12607;11
6;10000;6622;80452;97768;12607;10
6;100000;6622;80452;97768;12607;11
6;100000;6622;80452;97768;12607;11
6;100000;6622;80452;97768;12607;10
6;100000;6622;80452;97768;12607;10
6;100000;6622;80452;97768;12607;11
6;100000;6622;80452;97768;12607;11
6;100000;6622;88460;97768;13865;11
6;100000;6622;88460;97768;13865;12
6;100000;6622;88460;97768;13865;10
6;100000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;11
6;1000000;6622;88460;97768;13865;10
6;10000000;6622;88460;97768;13865;11
6;10000000;6622;88460;97768;13865;11
6;10000000;6622;88460;97768;13865;11
6;10000000;6622;88460;97768;13865;11
6;10000000;6622;88460;97768;13865;11
6;10000000;6622;88460;97768;13865;12
6;10000000;6622;88460;97768;13865;11
6;10000000;6622;88460;97768;13865;12
6;10000000;6622;88460;97768;13865;12
6;10000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;19
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;12
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;11
6;100000000;6622;88460;97768;13865;11
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;12
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;12
7;10000;6622;84443;97768;13232;11
7;10000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;12
7;100000;6622;84443;97768;13232;10
7;100000;6622;84443;97768;13232;11
7;100000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;12
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;12
7;1000000;6622;84443;97768;13232;12
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;11
7;1000000;6622;84443;97768;13232;10
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;12
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;11
7;10000000;6622;84443;97768;13232;11
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;11
7;100000000;6622;84443;97768;13232;11
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;12
7;100000000;6622;84443;97768;13232;11
7;100000000;6622;84443;97768;13232;10
7;100000000;6622;84443;97768;13232;11
7;100000000;6622;84443;97768;13232;11
2;10000;26046;123628;439917;41559;26
2;10000;26046;123628;439917;41559;25
2;10000;26046;123628;439917;41559;25
2;10000;26046;123628;439917;41559;25
2;10000;26046;123628;439917;41559;27
2;10000;26046;123628;439917;41559;25
2;10000;26046;147400;439917;49759;28
2;10000;26046;147400;439917;49759;27
2;10000;26046;147400;439917;49759;27
2;10000;26046;147400;439917;49759;26
2;100000;26046;498239;439917;165250;46
2;100000;26046;498239;439917;165250;46
2;100000;26046;498239;439917;165250;47
2;100000;26046;498239;439917;165250;46
2;100000;26046;498239;439917;165250;45
2;100000;26046;498239;439917;165250;46
2;100000;26046;498239;439917;165250;45
2;100000;26046;498239;439917;165250;46
2;100000;26046;498239;439917;165250;45
2;100000;26046;498239;439917;165250;46
2;1000000;26046;498239;439917;165250;46
2;1000000;26046;498239;439917;165250;46
2;1000000;26046;498239;439917;165250;46
2;1000000;26046;498239;439917;165250;46
2;1000000;26046;498239;439917;165250;46
2;1000000;26046;498239;439917;165250;46
2;1000000;26046;660197;439917;224875;54
2;1000000;26046;660197;439917;224875;54
2;1000000;26046;660197;439917;224875;53
2;1000000;26046;660197;439917;224875;54
2;10000000;26046;660197;439917;224875;53
2;10000000;26046;660197;439917;224875;55
2;10000000;26046;660197;439917;224875;55
2;10000000;26046;660197;439917;224875;55
2;10000000;26046;660197;439917;224875;56
2;10000000;26046;660197;439917;224875;53
2;10000000;26046;660197;439917;224875;53
2;10000000;26046;660197;439917;224875;55
2;10000000;26046;660197;439917;224875;54
2;10000000;26046;660197;439917;224875;56
2;100000000;26046;660197;439917;224875;55
2;100000000;26046;218088;439917;75536;31
2;100000000;26046;218088;439917;75536;31
2;100000000;26046;218088;439917;75536;31
2;100000000;26046;218088;439917;75536;31
2;100000000;26046;218088;439917;75536;31
2;100000000;26046;218088;439917;75536;32
2;100000000;26046;218088;439917;75536;31
2;100000000;26046;218088;439917;75536;31
2;100000000;26046;218088;439917;75536;31
3;10000;26046;147390;447996;21033;28
3;10000;26046;147390;447996;21033;28
3;10000;26046;147390;447996;21033;28
3;10000;26046;147390;447996;21033;28
3;10000;26046;147390;447996;21033;29
3;10000;26046;147390;447996;21033;27
3;10000;26046;147390;447996;21033;27
3;10000;26046;147390;447996;21033;29
3;10000;26046;147390;447996;21033;28
3;10000;26046;147390;447996;21033;27
3;100000;26046;576569;447996;82114;50
3;100000;26046;576569;447996;82114;51
3;100000;26046;576569;447996;82114;51
3;100000;26046;576569;447996;82114;51
3;100000;26046;576569;447996;82114;50
3;100000;26046;39483;447996;5647;21
3;100000;26046;39483;447996;5647;23
3;100000;26046;39483;447996;5647;22
3;100000;26046;39483;447996;5647;22
3;100000;26046;39483;447996;5647;22
3;1000000;26046;39483;447996;5647;21
3;1000000;26046;39483;447996;5647;22
3;1000000;26046;39483;447996;5647;21
3;1000000;26046;39483;447996;5647;22
3;1000000;26046;39483;447996;5647;23
3;1000000;26046;39483;447996;5647;21
3;1000000;26046;39483;447996;5647;21
3;1000000;26046;39483;447996;5647;22
3;1000000;26046;39483;447996;5647;22
3;1000000;26046;39483;447996;5647;22
3;10000000;26046;39483;447996;5647;22
3;10000000;26046;39483;447996;5647;23
3;10000000;26046;39483;447996;5647;22
3;10000000;26046;39483;447996;5647;22
3;10000000;26046;39483;447996;5647;22
3;10000000;26046;39483;447996;5647;23
3;10000000;26046;39483;447996;5647;22
3;10000000;26046;39483;447996;5647;23
3;10000000;26046;39483;447996;5647;22
3;10000000;26046;39483;447996;5647;24
3;100000000;26046;39483;447996;5647;23
3;100000000;26046;39483;447996;5647;21
3;100000000;26046;39483;447996;5647;22
3;100000000;26046;39483;447996;5647;22
3;100000000;26046;517649;447996;74075;48
3;100000000;26046;517649;447996;74075;48
3;100000000;26046;517649;447996;74075;48
3;100000000;26046;517649;447996;74075;47
3;100000000;26046;517649;447996;74075;48
3;100000000;26046;517649;447996;74075;46
4;10000;26046;147422;443487;20230;29
4;10000;26046;147422;443487;20230;30
4;10000;26046;147422;443487;20230;29
4;10000;26046;147422;443487;20230;30
4;10000;26046;147422;443487;20230;29
4;10000;26046;147422;443487;20230;28
4;10000;26046;147422;443487;20230;28
4;10000;26046;147422;443487;20230;29
4;10000;26046;147422;443487;20230;29
4;10000;26046;147422;443487;20230;28
4;100000;26046;234553;443487;32162;33
4;100000;26046;234553;443487;32162;33
4;100000;26046;234553;443487;32162;34
4;100000;26046;234553;443487;32162;35
4;100000;26046;234553;443487;32162;34
4;100000;26046;134988;443487;18467;28
4;100000;26046;134988;443487;18467;28
4;100000;26046;134988;443487;18467;27
4;100000;26046;134988;443487;18467;29
4;100000;26046;134988;443487;18467;28
4;1000000;26046;134988;443487;18467;28
4;1000000;26046;134988;443487;18467;28
4;1000000;26046;134988;443487;18467;28
4;1000000;26046;134988;443487;18467;27
4;1000000;26046;134988;443487;18467;29
4;1000000;26046;134988;443487;18467;29
4;1000000;26046;134988;443487;18467;29
4;1000000;26046;134988;443487;18467;28
4;1000000;26046;134988;443487;18467;27
4;1000000;26046;134988;443487;18467;27
4;10000000;26046;134988;443487;18467;28
4;10000000;26046;134988;443487;18467;27
4;10000000;26046;134988;443487;18467;28
4;10000000;26046;134988;443487;18467;29
4;10000000;26046;134988;443487;18467;28
4;10000000;26046;134988;443487;18467;28
4;10000000;26046;134988;443487;18467;29
4;10000000;26046;134988;443487;18467;28
4;10000000;26046;134988;443487;18467;31
4;10000000;26046;134988;443487;18467;29
4;100000000;26046;274431;443487;37527;36
4;100000000;26046;274431;443487;37527;37
4;100000000;26046;274431;443487;37527;37
4;100000000;26046;274431;443487;37527;36
4;100000000;26046;274431;443487;37527;36
4;100000000;26046;274431;443487;37527;36
4;100000000;26046;274431;443487;37527;38
4;100000000;26046;274431;443487;37527;37
4;100000000;26046;274431;443487;37527;37
4;100000000;26046;274431;443487;37527;39
5;10000;26046;94404;443849;12828;26
5;10000;26046;94404;443849;12828;27
5;10000;26046;94404;443849;12828;26
5;10000;26046;94404;443849;12828;25
5;10000;26046;94404;443849;12828;26
5;10000;26046;94404;443849;12828;26
5;10000;26046;94404;443849;12828;25
5;10000;26046;94404;443849;12828;26
5;10000;26046;94404;443849;12828;26
5;10000;26046;94404;443849;12828;26
5;100000;26046;94404;443849;12828;26
5;100000;26046;94404;443849;12828;28
5;100000;26046;94404;443849;12828;27
5;100000;26046;94404;443849;12828;26
5;100000;26046;612644;443849;83250;60
5;100000;26046;612644;443849;83250;60
5;100000;26046;612644;443849;83250;58
5;100000;26046;612644;443849;83250;60
5;100000;26046;612644;443849;83250;58
5;100000;26046;612644;443849;83250;60
5;1000000;26046;612644;443849;83250;59
5;1000000;26046;612644;443849;83250;58
5;1000000;26046;612644;443849;83250;59
5;1000000;26046;612644;443849;83250;59
5;1000000;26046;612644;443849;83250;59
5;1000000;26046;612644;443849;83250;58
5;1000000;26046;612644;443849;83250;59
5;1000000;26046;612644;443849;83250;61
5;1000000;26046;612644;443849;83250;59
5;1000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;27
5;10000000;26046;122409;443849;16641;29
5;10000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;28
5;10000000;26046;122409;443849;16641;29
5;100000000;26046;122409;443849;16641;28
5;100000000;26046;122409;443849;16641;28
5;100000000;26046;122409;443849;16641;28
5;100000000;26046;122409;443849;16641;29
5;100000000;26046;122409;443849;16641;28
5;100000000;26046;122409;443849;16641;27
5;100000000;26046;122409;443849;16641;29
5;100000000;26046;122409;443849;16641;28
5;100000000;26046;122409;443849;16641;28
5;100000000;26046;122409;443849;16641;28
6;10000;26046;91031;443849;12353;27
6;10000;26046;91031;443849;12353;27
6;10000;26046;91031;443849;12353;26
6;10000;26046;91031;443849;12353;26
6;10000;26046;91031;443849;12353;25
6;10000;26046;91031;443849;12353;27
6;10000;26046;91031;443849;12353;26
6;10000;26046;91031;443849;12353;27
6;10000;26046;91031;443849;12353;26
6;10000;26046;91031;443849;12353;26
6;100000;26046;91031;443849;12353;27
6;100000;26046;91031;443849;12353;26
6;100000;26046;91031;443849;12353;25
6;100000;26046;91031;443849;12353;27
6;100000;26046;91031;443849;12353;27
6;100000;26046;91031;443849;12353;26
6;100000;26046;91031;443849;12353;27
6;100000;26046;91031;443849;12353;27
6;100000;26046;91031;443849;12353;26
6;100000;26046;91031;443849;12353;26
6;1000000;26046;91031;443849;12353;26
6;1000000;26046;91031;443849;12353;26
6;1000000;26046;91031;443849;12353;25
6;1000000;26046;91031;443849;12353;26
6;1000000;26046;91031;443849;12353;26
6;1000000;26046;91031;443849;12353;26
6;1000000;26046;91031;443849;12353;26
6;1000000;26046;91031;443849;12353;28
6;1000000;26046;91031;443849;12353;27
6;1000000;26046;91031;443849;12353;26
6;10000000;26046;658249;443849;89408;67
6;10000000;26046;658249;443849;89408;64
6;10000000;26046;658249;443849;89408;65
6;10000000;26046;658249;443849;89408;65
6;10000000;26046;658249;443849;89408;65
6;10000000;26046;658249;443849;89408;67
6;10000000;26046;658249;443849;89408;67
6;10000000;26046;658249;443849;89408;64
6;10000000;26046;658249;443849;89408;64
6;10000000;26046;658249;443849;89408;66
6;100000000;26046;658249;443849;89408;65
6;100000000;26046;658249;443849;89408;67
6;100000000;26046;658249;443849;89408;65
6;100000000;26046;816051;443849;110813;74
6;100000000;26046;816051;443849;110813;76
6;100000000;26046;816051;443849;110813;78
6;100000000;26046;816051;443849;110813;75
6;100000000;26046;816051;443849;110813;77
6;100000000;26046;816051;443849;110813;74
6;100000000;26046;816051;443849;110813;75
7;10000;26046;147460;443849;20008;31
7;10000;26046;147460;443849;20008;29
7;10000;26046;147460;443849;20008;30
7;10000;26046;147460;443849;20008;31
7;10000;26046;147460;443849;20008;31
7;10000;26046;147460;443849;20008;30
7;10000;26046;147460;443849;20008;31
7;10000;26046;147460;443849;20008;32
7;10000;26046;147460;443849;20008;31
7;10000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;26
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;28
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;27
7;100000;26046;91016;443849;12348;28
7;1000000;26046;91016;443849;12348;28
7;1000000;26046;91016;443849;12348;26
7;1000000;26046;91016;443849;12348;27
7;1000000;26046;91016;443849;12348;27
7;1000000;26046;91016;443849;12348;28
7;1000000;26046;91016;443849;12348;26
7;1000000;26046;91016;443849;12348;27
7;1000000;26046;91016;443849;12348;27
7;1000000;26046;91016;443849;12348;26
7;1000000;26046;91016;443849;12348;27
7;10000000;26046;91016;443849;12348;27
7;10000000;26046;91016;443849;12348;26
7;10000000;26046;91016;443849;12348;28
7;10000000;26046;91016;443849;12348;27
7;10000000;26046;91016;443849;12348;26
7;10000000;26046;91016;443849;12348;27
7;10000000;26046;91016;443849;12348;27
7;10000000;26046;91016;443849;12348;26
7;10000000;26046;91016;443849;12348;27
7;10000000;26046;91016;443849;12348;27
7;100000000;26046;91016;443849;12348;28
7;100000000;26046;91016;443849;12348;26
7;100000000;26046;91016;443849;12348;27
7;100000000;26046;91016;443849;12348;27
7;100000000;26046;91016;443849;12348;26
7;100000000;26046;91016;443849;12348;27
7;100000000;26046;91016;443849;12348;27
7;100000000;26046;91016;443849;12348;27
7;100000000;26046;91016;443849;12348;27
7;100000000;26046;91016;443849;12348;58
2;10000;39213;84449;668264;51570;35
2;10000;39213;84449;668264;51570;35
2;10000;39213;84449;668264;51570;35
2;10000;39213;84449;668264;51570;35
2;10000;39213;84449;668264;51570;35
2;10000;39213;84449;668264;51570;36
2;10000;39213;84449;668264;51570;35
2;10000;39213;153323;668264;96138;39
2;10000;39213;153323;668264;96138;41
2;10000;39213;153323;668264;96138;39
2;100000;39213;700914;668264;452014;78
2;100000;39213;700914;668264;452014;76
2;100000;39213;700914;668264;452014;76
2;100000;39213;700914;668264;452014;76
2;100000;39213;700914;668264;452014;75
2;100000;39213;700914;668264;452014;74
2;100000;39213;700914;668264;452014;76
2;100000;39213;700914;668264;452014;75
2;100000;39213;700914;668264;452014;78
2;100000;39213;700914;668264;452014;76
2;1000000;39213;113099;668264;74135;38
2;1000000;39213;113099;668264;74135;37
2;1000000;39213;113099;668264;74135;37
2;1000000;39213;113099;668264;74135;37
2;1000000;39213;113099;668264;74135;37
2;1000000;39213;113099;668264;74135;38
2;1000000;39213;113099;668264;74135;38
2;1000000;39213;113099;668264;74135;37
2;1000000;39213;113099;668264;74135;38
2;1000000;39213;113099;668264;74135;37
2;10000000;39213;113099;668264;74135;38
2;10000000;39213;113099;668264;74135;37
2;10000000;39213;113099;668264;74135;37
2;10000000;39213;113099;668264;74135;37
2;10000000;39213;113099;668264;74135;37
2;10000000;39213;113099;668264;74135;36
2;10000000;39213;113099;668264;74135;37
2;10000000;39213;113099;668264;74135;38
2;10000000;39213;113099;668264;74135;39
2;10000000;39213;113099;668264;74135;38
2;100000000;39213;243073;668264;160703;46
2;100000000;39213;243073;668264;160703;45
2;100000000;39213;243073;668264;160703;47
2;100000000;39213;243073;668264;160703;45
2;100000000;39213;243073;668264;160703;46
2;100000000;39213;243073;668264;160703;47
2;100000000;39213;243073;668264;160703;50
2;100000000;39213;243073;668264;160703;47
2;100000000;39213;243073;668264;160703;46
2;100000000;39213;243073;668264;160703;47
3;10000;39213;153322;684222;23569;40
3;10000;39213;153322;684222;23569;40
3;10000;39213;153322;684222;23569;39
