"k";"m";"n";"count1";"count2";"count3";"time"
3;100000;6622;97565;74747;12064;0.005781
3;100000;6622;97565;6599;1058;0.003851
3;100000;6622;97565;38736;6307;0.004609
3;100000;6622;97565;37530;6064;0.004873
3;100000;6622;97565;168619;27456;0.008335
3;100000;6622;97565;8581;1375;0.004051
3;100000;6622;97565;67194;10866;0.005605
3;100000;6622;97565;225442;36709;0.010441
3;100000;6622;97565;50142;8092;0.016378
3;100000;6622;97565;48133;7793;0.016129
3;100000;6622;97565;67269;10905;0.008550
3;100000;6622;97565;37131;6038;0.007120
3;100000;6622;97565;48886;7919;0.004951
3;100000;6622;97565;27079;4397;0.004392
3;100000;6622;97565;137495;22279;0.020419
3;100000;6622;97565;21408;3458;0.006059
3;100000;6622;97565;53042;8613;0.006396
3;100000;6622;97565;107902;17520;0.008476
3;100000;6622;97565;217490;35224;0.009983
3;100000;6622;97565;404165;65680;0.015375
3;100000;6622;97565;145558;23619;0.007705
3;100000;6622;97565;62029;10068;0.005759
3;100000;6622;97565;49535;8039;0.005076
3;100000;6622;97565;7416;1175;0.003677
3;100000;6622;97565;63514;10322;0.005491
3;100000;6622;97565;204307;33187;0.009423
3;100000;6622;97565;84381;13643;0.005882
3;100000;6622;97565;85551;13857;0.006290
3;100000;6622;97565;145132;23589;0.008102
3;100000;6622;97565;33196;5412;0.004768
3;100000;6622;97565;186733;30291;0.008924
3;100000;6622;97565;56624;9190;0.005142
3;100000;6622;97565;130253;21110;0.007186
3;100000;6622;97565;24187;3966;0.004460
3;100000;6622;97565;172798;27929;0.008413
3;100000;6622;97565;99794;16138;0.006576
3;100000;6622;97565;104699;16934;0.006458
3;100000;6622;97565;16511;2649;0.003825
3;100000;6622;97565;12727;2042;0.003899
3;100000;6622;97565;62083;10016;0.005654
3;100000;6622;97565;38286;6228;0.004645
3;100000;6622;97565;214744;34855;0.009883
3;100000;6622;97565;64666;10515;0.005510
3;100000;6622;97565;6100;988;0.003829
3;100000;6622;97565;37278;6073;0.004489
3;100000;6622;97565;277764;45110;0.012141
3;100000;6622;97565;37636;6086;0.004507
3;100000;6622;97565;28869;4689;0.004485
3;100000;6622;97565;80008;12977;0.006172
3;100000;6622;97565;51662;8445;0.005138
3;100000;6622;97565;129013;20939;0.007555
3;100000;6622;97565;41157;6678;0.007273
3;100000;6622;97565;19084;3102;0.004123
3;100000;6622;97565;32577;5335;0.004539
3;100000;6622;97565;62206;10082;0.005433
3;100000;6622;97565;74543;12053;0.005743
3;100000;6622;97565;176566;28638;0.008866
3;100000;6622;97565;74084;11976;0.005766
3;100000;6622;97565;68599;11123;0.005571
3;100000;6622;97565;158543;25865;0.008093
3;100000;6622;97565;17014;2757;0.003892
3;100000;6622;97565;56694;9224;0.005374
3;100000;6622;97565;27089;4389;0.004384
3;100000;6622;97565;117602;19048;0.007130
3;100000;6622;97565;27322;4470;0.004473
3;100000;6622;97565;59756;9724;0.005196
3;100000;6622;97565;31671;5125;0.004505
3;100000;6622;97565;57230;9241;0.005445
3;100000;6622;97565;62760;10168;0.005540
3;100000;6622;97565;124831;20303;0.007483
3;100000;6622;97565;100537;16220;0.006650
3;100000;6622;97565;269288;43759;0.012048
3;100000;6622;97565;61031;9909;0.005290
3;100000;6622;97565;20338;3358;0.004137
3;100000;6622;97565;572893;93039;0.020844
3;100000;6622;97565;89421;14509;0.006147
3;100000;6622;97565;16245;2606;0.003826
3;100000;6622;97565;12580;2016;0.003992
3;100000;6622;97565;7302;1180;0.003820
3;100000;6622;97565;15144;2449;0.003940
3;100000;6622;97565;82552;13450;0.006140
3;100000;6622;97565;148163;24042;0.007820
3;100000;6622;97565;27207;4392;0.004469
3;100000;6622;97565;73132;11827;0.006070
3;100000;6622;97565;43978;7194;0.005020
3;100000;6622;97565;115253;18706;0.007537
3;100000;6622;97565;26656;4306;0.004333
3;100000;6622;97565;103428;16742;0.006559
3;100000;6622;97565;13014;2092;0.003978
3;100000;6622;97565;33548;5419;0.004787
3;100000;6622;97565;27729;4550;0.004609
3;100000;6622;97565;69235;11247;0.005609
3;100000;6622;97565;296953;48391;0.012296
3;100000;6622;97565;70147;11421;0.005740
3;100000;6622;97565;37635;6150;0.004713
3;100000;6622;97565;96632;15683;0.006876
3;100000;6622;97565;69769;11384;0.005377
3;100000;6622;97565;137692;22373;0.008079
3;100000;6622;97565;9855;1596;0.003940
3;100000;6622;97565;120551;19520;0.007487
