date;input;n;k;m;i;count1;count2;count3;count;usr;sys;time
2015-12-29 10:37:56.637460290+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;15;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.673740795+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;16;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.710657633+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;17;1387074;1666;1930;1390670;0.02;0;0.03
2015-12-29 10:37:56.749235598+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;18;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.785490834+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;19;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.821810675+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;100;20;1387074;1666;1930;1390670;0.02;0;0.02
2015-12-29 10:37:56.859745344+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;1;1387074;16553;18771;1422398;0.02;0;0.03
2015-12-29 10:37:56.898484935+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;2;1387074;16553;18771;1422398;0.02;0;0.02
2015-12-29 10:37:56.935593859+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;3;1387074;16553;18771;1422398;0.02;0;0.02
2015-12-29 10:37:56.972843236+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;4;1387074;16553;18771;1422398;0.02;0;0.02
2015-12-29 10:37:57.009725461+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;5;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.046723613+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;6;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.084108005+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;7;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.121287664+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;8;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.159057421+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;9;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.196312341+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;10;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.233344648+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;11;1387074;16602;18515;1422191;0.02;0;0.03
2015-12-29 10:37:57.272715204+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;12;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.309916346+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;13;1387074;16602;18515;1422191;0.02;0;0.03
2015-12-29 10:37:57.348349299+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;14;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.385453957+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;15;1387074;16602;18515;1422191;0.02;0;0.02
2015-12-29 10:37:57.422452211+01:00 ; ./dataset/book1_assommoir.txt ;91033;2;1000;16;1387074;16602;18515;1422191;0.02;0;0.02
